username,review,rating,date,country,source,clean_review,vader_score,sentiment,sentiment_rating,sentiment_combined,mismatch
Crina Krueger,Netflix has gone downhill since they started the one household rule since I live between 2 houses...,1,2025-09-25 23:49:34,CA,Play Store,netflix gone downhill since started one household rule since live houses,0.0,neutral,negative,negative,
bala vinay Seemakurthi,keeps on loading,1,2025-10-05 17:29:34,NG,Play Store,keeps loading,0.0,neutral,negative,negative,
Marina Godoy,Great selection of bing-able shows,5,2025-09-08 17:32:18,GB,Play Store,great selection bingable shows,0.6249,positive,positive,positive,
Alice Hlungwani,I really hate this app. it's a pity I can't get my refund.,1,2025-08-03 07:48:08,US,Play Store,really hate app pity cant get refund,-0.7548,negative,negative,negative,
Leslie Atkin,"This is a frustrating app for me. It takes control of my screen brightness and makes the screen way too dark. Scenes I can barley see on my phone, I can see just fine on my TV. It also has a difficult time picking up where I left off, and even occasionally skips an episode all together. I have a new, top-of-the-line phone. It was doing the same thing on my prior device that was a few years old.",2,2025-07-19 18:31:46,GB,Play Store,frustrating app takes control screen brightness makes screen way dark scenes barley see phone see fine tv also difficult time picking left even occasionally skips episode together new topoftheline phone thing prior device years old,-0.25,negative,negative,negative,
Hem Ram,This is the best streaming platform in the world. I love it soo much.,5,2025-08-24 16:34:12,NG,Play Store,best streaming platform world love soo much,0.8555,positive,positive,positive,
Bablu Srivatav,good,5,2025-09-11 05:37:09,GB,Play Store,good,0.4404,positive,positive,positive,
Clinton Maiko,cool,5,2025-09-19 20:15:18,NG,Play Store,cool,0.3182,positive,positive,positive,
Melo Marcellus,don't late give me new movie and new episodes,4,2025-09-11 02:57:54,US,Play Store,dont late give new movie new episodes,0.0,neutral,positive,positive,
Jose Guerrero,new design sucks removed categories and just makes finding what to watch harder,1,2025-07-20 18:12:19,US,Play Store,new design sucks removed categories makes finding watch harder,-0.3612,negative,negative,negative,
Danilo Lim,I can even pay using smart bill bruh,1,2025-09-27 11:34:00,CA,Play Store,even pay using smart bill bruh,0.3182,positive,negative,neutral,Neutral text but extreme rating
Yjn,ugly,1,2025-08-06 08:29:24,NG,Play Store,ugly,-0.5106,negative,negative,negative,
Cannon Knight,finally stranger things season 4 is coming out!!!!,5,2025-08-08 17:40:46,GB,Play Store,finally stranger things season coming,0.0,neutral,positive,positive,
Janina Munoz,"Netflix has a wide variety of subpar shows. It used to be THE platform 😕 to watch all the latest shows but lately the quality has severely declined with newer shows. A shame. Plus, I deeply disliked the breakup of popular season into chunks. The only reason to pay for Netflix is to binge and when I can't do that I get upset. I do not recommend.",2,2025-08-26 15:56:20,NG,Play Store,netflix wide variety subpar shows used platform watch latest shows lately quality severely declined newer shows shame plus deeply disliked breakup popular season chunks reason pay netflix binge cant get upset recommend,-0.7473,negative,negative,negative,
Giovanna Ravone,it doesn't let me play anything help,1,2025-09-06 01:50:39,CA,Play Store,doesnt let play anything help,0.169,positive,negative,neutral,Neutral text but extreme rating
Erin Wallschlaeger,"I don't want to watch shows with voice overs!!! So annoying!!! It would be nice if there was a filter to block out shows like that. It would also be helpful to mark or keep track of the shows I have already watched, not continue to suggest things that I've already seen. Perhaps create an already watched category or a symbol on the show like a check, star or binoculars or something to mark that it's been viewed already.",4,2025-07-30 13:08:44,GB,Play Store,dont want watch shows voice overs annoying would nice filter block shows like would also helpful mark keep track shows already watched continue suggest things ive already seen perhaps create already watched category symbol show like check star binoculars something mark viewed already,0.7076,positive,positive,positive,
PERS3PH0NE UND3RW0RLD,netflix is a really nice place to watch stuff. then they cancel all the shows you want and decide your device isn't on the 'Netflix Household' and then you can't use your account THAT YOU PAY FOR at all!!!!!!! do better.,1,2025-09-05 19:36:48,GB,Play Store,netflix really nice place watch stuff cancel shows want decide device isnt netflix household cant use account pay better,0.6797,positive,negative,neutral,Neutral text but extreme rating
Madhvi Singh,best app,5,2025-09-11 15:06:00,GB,Play Store,best app,0.6369,positive,positive,positive,
Cesar Ramirez,"The app isn't working on Pixel 9. I tried uninstalling, clearing the cache, and switching between WiFi and cellular data.. I'm stumped!",1,2025-07-29 02:40:56,US,Play Store,app isnt working pixel tried uninstalling clearing cache switching wifi cellular data im stumped,0.0,neutral,negative,negative,
Razak Mohammed2020,good,5,2025-08-15 06:25:00,NG,Play Store,good,0.4404,positive,positive,positive,
Levi Bono,That's great app for the future,5,2025-07-29 22:04:10,US,Play Store,thats great app future,0.6249,positive,positive,positive,
Natu Thakor,Awesome,5,2025-09-21 10:56:05,CA,Play Store,awesome,0.6249,positive,positive,positive,
Akshay Dapke,"No Money, No Honey. 😥",1,2025-09-01 15:24:31,US,Play Store,money honey,0.0,neutral,negative,negative,
aulia puspito,video keep loading. what can i do to fix it ?,1,2025-08-18 11:51:30,CA,Play Store,video keep loading fix,0.0,neutral,negative,negative,
Sivoki Rarawa,💯🫰🫰,5,2025-08-31 06:21:09,GB,Play Store,,0.0,neutral,positive,positive,
Manju Singh,nothing is here 😔,1,2025-07-25 10:02:27,GB,Play Store,nothing,0.0,neutral,negative,negative,
Shad Anderson,I can't update this garbage app or delete it off my Samsung now? Do better and fix it,1,2025-08-12 15:30:51,CA,Play Store,cant update garbage app delete samsung better fix,0.4404,positive,negative,neutral,Neutral text but extreme rating
Boxe Tv,😍😍😍,5,2025-09-16 20:34:24,US,Play Store,,0.0,neutral,positive,positive,
ZEROspawn,"It's too expensive, can't use more accounts, and shows worth seeing are gone. then there is the whole problem with ""historical shows"" and them supporting bad people. I can't say anything positive right now, as even the app and quality of the streaming have gone down a lot. It used to be 4k. Now it's 1024p for more money and worse shows.",1,2025-10-02 08:22:57,US,Play Store,expensive cant use accounts shows worth seeing gone whole problem historical shows supporting bad people cant say anything positive right even app quality streaming gone lot used k p money worse shows,-0.8138,negative,negative,negative,
Manish Bareja,"worst OTT app now. Main screen when login, full of games. if your kid is using this, trust me your phone will be like hell. I compained om customer care to remove games option from netflix and they said we dont have any choice. Totally, frustating.",1,2025-10-05 16:45:05,GB,Play Store,worst ott app main screen login full games kid using trust phone like hell compained om customer care remove games option netflix said dont choice totally frustating,-0.1779,negative,negative,negative,
Yoon Min,netFLix is like supur cool for kids and my lil sis love it too and add some profile picture I like it so please make huntrix and saja boys.,5,2025-08-29 05:13:56,NG,Play Store,netflix like supur cool kids lil sis love add profile picture like please make huntrix saja boys,0.9153,positive,positive,positive,
𝓒𝓪𝓽𝓵𝓸𝓿𝓮𝓻241211,I love netflix,5,,GB,App Store,love netflix,0.6369,positive,positive,positive,
jo jo,on poco x6 pro the app is not working properly. giving some error.,1,2025-09-20 18:12:41,CA,Play Store,poco x pro app working properly giving error,-0.0772,negative,negative,negative,
SAIF SHORTS,not all movies available,1,2025-08-26 11:18:28,GB,Play Store,movies available,0.0,neutral,negative,negative,
EnglishRose16,it's so annoying it won't let me watch any movies and i've already paid. tell me about stressful.,1,2025-08-11 16:38:18,US,Play Store,annoying wont let watch movies ive already paid tell stressful,-0.7184,negative,negative,negative,
Bridget Makina,The app is fantastic,5,2025-09-25 18:14:34,NG,Play Store,app fantastic,0.5574,positive,positive,positive,
Steven S,if your going to charge $10 a month with ads at least make it continue from where you finished when your half way through a movie and not back to the start...,3,2025-08-25 09:40:41,CA,Play Store,going charge month ads least make continue finished half way movie back start,0.0,neutral,neutral,neutral,
Marba kamki,I already updated my accounted pay why it's still asking,3,2025-08-21 16:43:40,NG,Play Store,already updated accounted pay still asking,-0.1027,negative,neutral,negative,
Pandurang Katkar,timewaste,1,2025-08-20 12:48:26,US,Play Store,timewaste,0.0,neutral,negative,negative,
Amit Kapadne,nice app ☺️,5,2025-08-02 18:02:47,US,Play Store,nice app,0.4215,positive,positive,positive,
Klenam Ashimatey,interesting,2,2025-09-01 19:41:59,GB,Play Store,interesting,0.4019,positive,negative,neutral,
CHRISTOPHER EKKA,video play problem,1,2025-08-05 06:14:18,NG,Play Store,video play problem,-0.0772,negative,negative,negative,
Kim Shaw,I use to be able to watch Netflix anywhere. Now its hit or miss. It even quits working in the middle of watching. This App is trash now! Don't know what y'all did to it but this app is garbage!,1,2025-10-01 16:28:16,US,Play Store,use able watch netflix anywhere hit miss even quits working middle watching app trash dont know yall app garbage,-0.1531,negative,negative,negative,
queety Queen,"Binge-worthy and always fresh 🍿📺 Netflix brings the best shows and movies straight to your screen. Your next obsession awaits! #NetflixAndChill #StreamDream""",5,2025-08-24 06:43:01,US,Play Store,bingeworthy always fresh netflix brings best shows movies straight screen next obsession awaits netflixandchill streamdream,0.743,positive,positive,positive,
Rhonda Landers,its been great,5,2025-09-16 01:25:20,NG,Play Store,great,0.6249,positive,positive,positive,
Shazmyra,"I am using the Honor Magic V5 Fold, but I cannot watch Netflix on this device. The app installs, but playback does not work. This is very disappointing for a flagship phone. Please improve compatibility and Widevine support for Honor foldable devices so we can enjoy Netflix without issues.",1,2025-09-22 11:10:41,US,Play Store,using honor magic v fold cannot watch netflix device app installs playback work disappointing flagship phone please improve compatibility widevine support honor foldable devices enjoy netflix without issues,0.9287,positive,negative,neutral,Neutral text but extreme rating
shaik basha mobile Volga Videos,good,5,2025-08-21 04:25:17,GB,Play Store,good,0.4404,positive,positive,positive,
Brett Tetrault,Just canceled and uninstalled. I will not let my kids consume woke ideologies. I also do not support any company that mocks people who are killed just for their speech. Rest In Piece Charlie Kirk!,1,2025-10-02 15:02:22,GB,Play Store,canceled uninstalled let kids consume woke ideologies also support company mocks people killed speech rest piece charlie kirk,-0.7003,negative,negative,negative,
Joe bonga 6,it's keeps skipping scenes for me,2,2025-09-22 07:16:16,NG,Play Store,keeps skipping scenes,0.0,neutral,negative,negative,
suhendi widjaja,payment got cut but cant access in for two weeks,1,2025-08-17 09:00:10,NG,Play Store,payment got cut cant access two weeks,-0.2732,negative,negative,negative,
sal E. (li),"I cannot view Korean and Japanese drama and movies, why?",2,2025-07-19 22:35:06,US,Play Store,cannot view korean japanese drama movies,0.0,neutral,negative,negative,
Martie Collett,Amazing Amazing app,5,2025-08-18 16:57:16,GB,Play Store,amazing amazing app,0.8225,positive,positive,positive,
Momo,too expensive,1,2025-09-04 22:32:27,US,Play Store,expensive,0.0,neutral,negative,negative,
Pratibha Sahu,poor app so many times I am downloading these app but everytime I can't creat my account and always show something went is wrong try again,1,2025-07-26 10:42:08,CA,Play Store,poor app many times downloading app everytime cant creat account always show something went wrong try,-0.7351,negative,negative,negative,
jatin bhambhani,This Ott platform is my top favourite one. Most of the shoes are superhit and have amazing story. can't wait to watch new episodes of my favourite shows here on Netflix.,5,2025-09-10 11:11:22,NG,Play Store,ott platform top favourite one shoes superhit amazing story cant wait watch new episodes favourite shows netflix,0.6808,positive,positive,positive,
Hotovaga Trader,very good app,5,2025-09-10 14:52:32,NG,Play Store,good app,0.4404,positive,positive,positive,
Eric Cartman,now the pricing has changed and also adverts are now on the lowest paid platform and they cancel lots of shows after one series has turned Netflix into a joke.Not worth subscribing now.,2,2025-08-31 13:34:54,NG,Play Store,pricing changed also adverts lowest paid platform cancel lots shows one series turned netflix jokenot worth subscribing,-0.4019,negative,negative,negative,
Catherine Moloto,it gives life and more exciting shows to watch.,5,2025-07-26 17:10:31,US,Play Store,gives life exciting shows watch,0.4939,positive,positive,positive,
Ashton,Netflix goes against my moral beliefs and I can not uninstall it from my phone,1,2025-10-06 23:37:22,US,Play Store,netflix goes moral beliefs uninstall phone,0.0,neutral,negative,negative,
Imelda Cabanes,very convenient to watch,5,2025-08-07 14:11:49,US,Play Store,convenient watch,0.0,neutral,positive,positive,
D G,keeps disconnecting me,1,2025-08-23 16:57:56,GB,Play Store,keeps disconnecting,0.0,neutral,negative,negative,
Xian ace Marcelo,like this,5,2025-09-01 13:02:31,CA,Play Store,like,0.3612,positive,positive,positive,
Nifty Nate,nice and easy to use,5,2025-08-17 21:55:12,NG,Play Store,nice easy use,0.6908,positive,positive,positive,
